address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
SANSOME ST / CLAY ST,ASSAULT,2017-02-16T00:00:00.000,Thursday,BATTERY,170135046,"{u'type': u'Point', u'coordinates': [-122.401489656, 37.7948383317]}",CENTRAL,17013504604134,NONE,17:26,-122.40148965568693,37.794838331746924
MARKET ST / SUTTER ST,NON-CRIMINAL,2017-02-12T00:00:00.000,Sunday,FOUND PROPERTY,170123825,"{u'type': u'Point', u'coordinates': [-122.400316057, 37.7900996274]}",CENTRAL,17012382572000,NONE,22:00,-122.40031605728647,37.79009962736703
800 Block of FRONT ST,SECONDARY CODES,2017-03-19T00:00:00.000,Sunday,DOMESTIC VIOLENCE,170226673,"{u'type': u'Point', u'coordinates': [-122.400039963, 37.7992056388]}",CENTRAL,17022667315200,"ARREST, BOOKED",14:33,-122.40003996299495,37.79920563874968
500 Block of MASON ST,FRAUD,2017-01-11T00:00:00.000,Wednesday,"CREDIT CARD, THEFT BY USE OF",170028968,"{u'type': u'Point', u'coordinates': [-122.410219832, 37.7885496706]}",CENTRAL,17002896809320,NONE,13:10,-122.41021983175881,37.7885496705771
900 Block of CALIFORNIA ST,LARCENY/THEFT,2017-01-26T00:00:00.000,Thursday,PETTY THEFT FROM A BUILDING,170070618,"{u'type': u'Point', u'coordinates': [-122.409999362, 37.7918823356]}",CENTRAL,17007061806303,NONE,01:27,-122.40999936188335,37.79188233555996
MONTGOMERY ST / CLAY ST,OTHER OFFENSES,2017-02-05T00:00:00.000,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",170103231,"{u'type': u'Point', u'coordinates': [-122.403143342, 37.7946660681]}",CENTRAL,17010323165016,"ARREST, BOOKED",22:12,-122.40314334235623,37.7946660680883
CALIFORNIA ST / CUSHMAN ST,LARCENY/THEFT,2016-12-03T00:00:00.000,Saturday,GRAND THEFT OF PROPERTY,166284865,"{u'type': u'Point', u'coordinates': [-122.411714538, 37.7917200868]}",CENTRAL,16628486506374,NONE,03:40,-122.41171453809368,37.7917200867632
400 Block of POWELL ST,LARCENY/THEFT,2016-12-15T00:00:00.000,Thursday,PETTY THEFT OF PROPERTY,166297733,"{u'type': u'Point', u'coordinates': [-122.408431861, 37.7887772719]}",CENTRAL,16629773306372,NONE,19:30,-122.40843186105724,37.788777271915315
NORTHPOINT ST / TAYLOR ST,LARCENY/THEFT,2017-02-11T00:00:00.000,Saturday,PETTY THEFT FROM LOCKED AUTO,170120859,"{u'type': u'Point', u'coordinates': [-122.415435473, 37.8063418892]}",CENTRAL,17012085906242,NONE,18:30,-122.41543547309443,37.80634188918135
600 Block of SANSOME ST,NON-CRIMINAL,2017-01-18T00:00:00.000,Wednesday,LOST PROPERTY,170049077,"{u'type': u'Point', u'coordinates': [-122.40169801, 37.7961898929]}",CENTRAL,17004907771000,NONE,00:01,-122.40169801030046,37.796189892929284
