address,category,date,dayofweek,descript,incidntnum,location,pddistrict,pdid,resolution,time,x,y
600 Block of HAIGHT ST,LARCENY/THEFT,2015-05-09T00:00:00.000,Saturday,GRAND THEFT OF PROPERTY,156113860,"{u'type': u'Point', u'coordinates': [-122.432940245, 37.7718450016]}",PARK,15611386006374,NONE,22:00,-122.43294024481,37.7718450016424
1100 Block of SCOTT ST,MISSING PERSON,2016-02-01T00:00:00.000,Monday,FOUND PERSON,160095096,"{u'type': u'Point', u'coordinates': [-122.437099428, 37.7803522157]}",PARK,16009509675000,NONE,22:00,-122.43709942832018,37.78035221568935
1100 Block of PIERCE ST,LARCENY/THEFT,2015-04-27T00:00:00.000,Monday,GRAND THEFT FROM LOCKED AUTO,156102346,"{u'type': u'Point', u'coordinates': [-122.435590528, 37.7805435736]}",PARK,15610234606244,NONE,06:00,-122.435590528188,37.7805435736467
OAK ST / DIVISADERO ST,NON-CRIMINAL,2015-11-02T00:00:00.000,Monday,LOST PROPERTY,156270755,"{u'type': u'Point', u'coordinates': [-122.437422446, 37.7731323316]}",PARK,15627075571000,NONE,18:00,-122.437422446098,37.7731323316038
400 Block of STANYAN ST,LARCENY/THEFT,2015-08-25T00:00:00.000,Tuesday,PETTY THEFT OF PROPERTY,156211599,"{u'type': u'Point', u'coordinates': [-122.454403067, 37.7738178295]}",PARK,15621159906372,NONE,05:30,-122.454403066889,37.7738178294781
OAK ST / BAKER ST,LARCENY/THEFT,2015-06-22T00:00:00.000,Monday,GRAND THEFT FROM LOCKED AUTO,156152686,"{u'type': u'Point', u'coordinates': [-122.440737119, 37.772712466]}",PARK,15615268606244,NONE,07:00,-122.440737118652,37.7727124660172
CLAYTON ST / FELL ST,NON-CRIMINAL,2015-06-18T00:00:00.000,Thursday,LOST PROPERTY,156150668,"{u'type': u'Point', u'coordinates': [-122.449142862, 37.7725792727]}",PARK,15615066871000,NONE,15:00,-122.449142861775,37.7725792727241
GEARY BL / LYON ST,VEHICLE THEFT,2016-02-23T00:00:00.000,Tuesday,STOLEN AUTOMOBILE,160159971,"{u'type': u'Point', u'coordinates': [-122.444441286, 37.7826777179]}",PARK,16015997107021,NONE,10:00,-122.44444128636269,37.78267771790271
PIERCE ST / TURK ST,ASSAULT,2016-01-12T00:00:00.000,Tuesday,BATTERY,160037054,"{u'type': u'Point', u'coordinates': [-122.435426672, 37.7800763782]}",PARK,16003705404134,NONE,02:00,-122.43542667197812,37.780076378241816
1500 Block of MASONIC AV,VEHICLE THEFT,2016-01-27T00:00:00.000,Wednesday,STOLEN TRUCK,160090604,"{u'type': u'Point', u'coordinates': [-122.44380092, 37.7656751587]}",PARK,16009060407025,NONE,12:00,-122.44380091968655,37.76567515866622
1500 Block of FULTON ST,NON-CRIMINAL,2016-02-13T00:00:00.000,Saturday,FIRE REPORT,160131612,"{u'type': u'Point', u'coordinates': [-122.442315218, 37.7762742982]}",PARK,16013161268000,NONE,20:10,-122.44231521780516,37.776274298184795
